,is_weekend,hour,hex_6,unique_drivers,util,cdr
1175,0,16,8611aa45fffffff,735,0.5144267690619857,0.9850746268656716
1176,0,16,8611aa467ffffff,35,0.6445086705202312,1.0
1177,0,16,8611aa46fffffff,515,0.5353805073431241,1.0
1178,0,16,8611aa4c7ffffff,210,0.5290850628471208,0.9047619047619048
1179,0,16,8611aa4cfffffff,545,0.4787859007832898,0.9591836734693877
1180,0,16,8611aa4d7ffffff,54,0.5273972602739726,1.0
1181,0,16,8611aa4dfffffff,358,0.5564920273348519,1.0
1182,0,16,8611aa4e7ffffff,182,0.5056285178236398,0.9166666666666666
1183,0,16,8611aa4efffffff,657,0.523845763571791,0.9767441860465116
1184,0,16,8611aa607ffffff,604,0.510216979144723,0.9772727272727273
1185,0,16,8611aa617ffffff,650,0.5470005356186395,0.9
1186,0,16,8611aa61fffffff,456,0.4489065606361829,1.0
1187,0,16,8611aa627ffffff,589,0.5131073051380636,0.9444444444444444
1188,0,16,8611aa62fffffff,455,0.40717948717948715,1.0
1189,0,16,8611aa637ffffff,762,0.5930959726507129,0.9385964912280702
1190,0,16,8611aa687ffffff,668,0.4113986243039633,1.0
1191,0,16,8611aa68fffffff,89,0.5546623794212219,0.6666666666666666
1192,0,16,8611aa6a7ffffff,724,0.47793899911163756,0.927536231884058
1193,0,16,8611aa6afffffff,534,0.46733668341708545,0.9230769230769231
1194,0,16,8611aa6b7ffffff,409,0.4143103448275862,0.7948717948717948
1195,0,16,8611aa6dfffffff,60,0.3577981651376147,1.0
1196,0,16,8611aa707ffffff,550,0.4707085288102971,0.8961038961038961
1197,0,16,8611aa70fffffff,615,0.5034650455927052,0.8734177215189873
1198,0,16,8611aa717ffffff,901,0.6027670704845814,0.9291338582677166
1199,0,16,8611aa71fffffff,851,0.5654275419632656,0.9166666666666666
1200,0,16,8611aa727ffffff,654,0.4908825674690007,0.8846153846153846
1201,0,16,8611aa72fffffff,559,0.4062933826931976,0.8620689655172413
1202,0,16,8611aa737ffffff,595,0.5428222571079714,0.9285714285714286
1203,0,16,8611aa757ffffff,369,0.4530995106035889,1.0
1204,0,16,8611aa787ffffff,824,0.6184220634554813,0.8992248062015504
1205,0,16,8611aa78fffffff,1102,0.5731646134121189,0.8951048951048951
1206,0,16,8611aa797ffffff,565,0.5135595143537955,0.9397590361445783
1207,0,16,8611aa79fffffff,643,0.5561904761904762,0.9310344827586207
1208,0,16,8611aa7a7ffffff,756,0.625288930742231,0.898989898989899
1209,0,16,8611aa7afffffff,1066,0.6549531459170014,0.9502487562189055
1210,0,16,8611aa7b7ffffff,483,0.5753829615694706,0.9565217391304348
1211,0,17,861181a6fffffff,101,0.3717948717948718,1.0
1212,0,17,861181b2fffffff,48,0.39173228346456695,1.0
1213,0,17,861181b47ffffff,336,0.4437280187573271,1.0
1214,0,17,861181b4fffffff,294,0.4435146443514644,0.9
1215,0,17,861181b67ffffff,496,0.4360587002096436,1.0
1216,0,17,861181b6fffffff,247,0.49743326488706363,1.0
1217,0,17,861181b77ffffff,160,0.44661921708185054,1.0
1218,0,17,8611aa087ffffff,15,0.3333333333333333,1.0
1219,0,17,8611aa09fffffff,95,0.4188811188811189,1.0
1220,0,17,8611aa0c7ffffff,8,0.25,1.0
1221,0,17,8611aa197ffffff,47,0.49469214437367304,0.5
1222,0,17,8611aa40fffffff,35,0.25051334702258726,1.0
1223,0,17,8611aa447ffffff,371,0.5025041736227045,1.0
1224,0,17,8611aa44fffffff,247,0.5215827338129496,1.0
1225,0,17,8611aa457ffffff,74,0.3981797497155859,0.8571428571428571
1226,0,17,8611aa45fffffff,544,0.5231843111184976,0.9512195121951219
1227,0,17,8611aa467ffffff,36,0.42567567567567566,1.0
1228,0,17,8611aa46fffffff,360,0.40380761523046094,1.0
1229,0,17,8611aa4c7ffffff,147,0.3743236596163306,0.5714285714285714
1230,0,17,8611aa4cfffffff,394,0.35851539878915506,1.0
1231,0,17,8611aa4d7ffffff,39,0.3389830508474576,1.0
1232,0,17,8611aa4dfffffff,234,0.41525756979944944,0.9285714285714286
1233,0,17,8611aa4e7ffffff,126,0.46683199008059517,1.0
1234,0,17,8611aa4efffffff,470,0.49072480397781604,0.7619047619047619
1235,0,17,8611aa50fffffff,8,0.24561403508771928,0.0
1236,0,17,8611aa607ffffff,370,0.49108011676938046,0.9444444444444444
1237,0,17,8611aa617ffffff,422,0.545530492898914,0.9375
1238,0,17,8611aa61fffffff,305,0.4852233676975945,1.0
1239,0,17,8611aa627ffffff,368,0.46196845677779996,0.98
1240,0,17,8611aa62fffffff,307,0.41940928270042194,1.0
1241,0,17,8611aa637ffffff,535,0.6087572440437862,0.9883720930232558
1242,0,17,8611aa687ffffff,421,0.37869198312236285,0.7142857142857143
1243,0,17,8611aa68fffffff,78,0.4323308270676692,1.0
1244,0,17,8611aa697ffffff,233,0.35124508519003933,1.0
1245,0,17,8611aa6a7ffffff,496,0.3935696619950536,0.8666666666666667
1246,0,17,8611aa6afffffff,332,0.37898089171974525,1.0
1247,0,17,8611aa6b7ffffff,297,0.3209266007287871,0.896551724137931
1248,0,17,8611aa6dfffffff,46,0.5017182130584192,1.0
1249,0,17,8611aa707ffffff,359,0.4590064620355412,0.9333333333333333
1250,0,17,8611aa70fffffff,409,0.41506291635825315,0.9565217391304348
1251,0,17,8611aa717ffffff,649,0.6098259528530513,0.9444444444444444
1252,0,17,8611aa71fffffff,549,0.5159531826198492,0.9130434782608695
1253,0,17,8611aa727ffffff,423,0.46344925479063165,0.8571428571428571
1254,0,17,8611aa72fffffff,375,0.3761435608726249,0.9
1255,0,17,8611aa737ffffff,410,0.5303482587064676,0.8333333333333334
1256,0,17,8611aa74fffffff,3,0.07792207792207792,1.0
1257,0,17,8611aa757ffffff,242,0.4340080971659919,1.0
1258,0,17,8611aa76fffffff,1,0.5,1.0
1259,0,17,8611aa787ffffff,594,0.6344160331720802,0.9148936170212766
1260,0,17,8611aa78fffffff,755,0.574010621894809,0.9433962264150944
1261,0,17,8611aa797ffffff,374,0.512987012987013,0.9130434782608695
1262,0,17,8611aa79fffffff,418,0.48022751895991334,0.9459459459459459
1263,0,17,8611aa7a7ffffff,533,0.6060809901789318,0.8701298701298701
1264,0,17,8611aa7afffffff,810,0.667495296963182,0.9005524861878453
1265,0,17,8611aa7b7ffffff,314,0.5644668702695526,0.9381443298969072
1266,0,18,861181a6fffffff,56,0.3915171288743883,0.6666666666666666
1267,0,18,861181b47ffffff,188,0.4115942028985507,1.0
1268,0,18,861181b4fffffff,175,0.4155982905982906,0.5
1269,0,18,861181b67ffffff,285,0.41759002770083103,1.0
1270,0,18,861181b6fffffff,129,0.46192203082502264,0.9285714285714286
1271,0,18,861181b77ffffff,100,0.5665158371040724,1.0
1272,0,18,8611aa09fffffff,50,0.46686746987951805,0.75
1273,0,18,8611aa447ffffff,184,0.5725534308211474,1.0
1274,0,18,8611aa44fffffff,162,0.4654798089448545,0.8181818181818182
1275,0,18,8611aa457ffffff,49,0.41788617886178864,1.0
1276,0,18,8611aa45fffffff,308,0.5443959243085881,0.875
1277,0,18,8611aa46fffffff,200,0.39579349904397704,0.0
