client.c.cuuid.claim_uuid,client.c.c.req_cargo_lcv_l_lcy_cost,client.c.c.req_cargo_lcv_m_lcy_cost,client.c.c.req_cargo_one_loader_lcy_cost,client.c.c.req_cargo_two_loaders_lcy_cost,performer.c.c.req_cargo_lcv_l_lcy_cost,performer.c.c.req_cargo_lcv_m_lcy_cost,performer.c.c.req_cargo_one_loader_lcy_cost,performer.c.c.req_cargo_two_loaders_lcy_cost
005c745147714ddf821327b68c570706,0.0,0.0,500.0,0.0,0.0,0.0,380.0,0.0
005cc43abbf64ef2903555385247cf21,1003.0,0.0,500.0,0.0,742.0,0.0,380.0,0.0
005ccbce0da14c9dbcf7ec928bbd0955,1053.0,0.0,0.0,0.0,723.0,0.0,0.0,0.0
005d3f3439c54938a1ed669d07168079,1086.0,0.0,0.0,0.0,793.0,0.0,0.0,0.0
0060149475844ed2bb506ff7cc8b30df,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
006033db1c044de4a3a0c3adbacb317e,0.0,0.0,0.0,0.0,0.0,0.0,427.0,0.0
00606ae0a8024555a8c884a241f64724,0.0,528.0,0.0,0.0,0.0,434.0,0.0,0.0
0060aceaa40e4d6a8407fb3c77db52ed,0.0,0.0,420.0,0.0,0.0,0.0,328.0,0.0
0060b03e9c5e4b15a0d02a1f20ae288c,0.0,0.0,500.0,0.0,0.0,0.0,380.0,0.0
0060b3fdd7924b8e901eee652eb6eeac,0.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0
0060e371ba724206b92d1772f9a8b5e1,0.0,0.0,399.0,0.0,0.0,0.0,427.0,0.0
00611dea0f7344c4909929a1f6832312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00613f5a03c047ad9ade39ad5a492134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0061bc7e73204a4d80ca5abc0e29379f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
006249dec39d456fbb2853cca3fa3746,0.0,459.0,0.0,0.0,0.0,181.0,0.0,789.0
0062659c7ad3496dbdd5b00fe511cd1e,0.0,0.0,423.0,0.0,0.0,0.0,328.0,0.0
00631269f2d8454e9291fc53947b0730,566.0,0.0,0.0,999.0,391.0,0.0,0.0,759.0
0063aadfacfd406ea086a57b4f64c025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0063fb922e354d6289d3eca378a7d514,0.0,0.0,0.0,0.0,0.0,168.0,380.0,0.0
0064fb1801be4d01bf20227cb43847a9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
006557e1cd2f4e29b2d98a8e226df041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00668293e0274220a7901adbe1e25f36,0.0,0.0,0.0,0.0,0.0,0.0,380.0,0.0
0067225edd2640e1abc85c52cdaf9a75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0067241bdee44656a611333744ccbc2b,0.0,0.0,500.0,0.0,0.0,0.0,395.0,0.0
006821fa0cc247298d8048ca0dd0dcab,3180.0,0.0,0.0,0.0,2419.0,0.0,0.0,0.0
006841923d134025b4ca4ba366a17bc7,725.0,0.0,0.0,0.0,594.0,0.0,0.0,0.0
0068a03393af41cea0aa418cd818ba9d,0.0,1231.0,0.0,0.0,0.0,954.0,0.0,0.0
0068b267e9be4a4fb96128f225c0b34e,0.0,0.0,566.0,0.0,0.0,0.0,405.0,0.0
0068d23430324feebf1da9b7e06be286,788.0,0.0,500.0,0.0,601.0,0.0,380.0,0.0
00693a3073da47d0a667e555467391ed,0.0,0.0,0.0,0.0,0.0,280.0,0.0,0.0
006958c9e42d4bdbb6a25258db39d951,0.0,690.0,0.0,0.0,0.0,0.0,0.0,0.0
0069b1aa1d59412fa7e6a58e8232d847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
006aa0f188004c65b077a30b9b54b65d,1159.0,0.0,0.0,0.0,973.0,0.0,0.0,0.0
006b37136e54479384873d5f6ca7a02f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
006bb4e5354f4e93b878260a05b4befe,0.0,766.0,0.0,0.0,0.0,0.0,0.0,0.0
006bc661b9154a9cad9c72539a0f6742,0.0,0.0,0.0,0.0,0.0,219.0,0.0,0.0
006bf319f935498382dbbe0a4c6dffa9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
006c598b282a4a5fa22b8e07744794f4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
